pname,url,price,discount
Men & Women Grey Jeans,https://www.flipkart.com/annu-jeans-men-women-grey/p/itma1ce5f0b843cc?pid=JEAGF54AFHYJBGZD&lid=LSTJEAGF54AFHYJBGZD5PLGGN&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_17&otracker=search&otracker1=search&fm=SEARCH&iid=ff27bf01-99cc-4994-9fff-677c833ecd42.JEAGF54AFHYJBGZD.SEARCH&ppt=hp&ppn=homepage&ssid=2u2vzoizai1q3chs1641452507770&qH=a0f2589b1ced4dec,₹448,67% off
Slim Men Black Jeans,https://www.flipkart.com/united-denim-slim-men-black-jeans/p/itmeb4428923bd64?pid=JEAGF9NBJKREB8FX&lid=LSTJEAGF9NBJKREB8FXHMMPLD&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_18&otracker=search&otracker1=search&fm=SEARCH&iid=ff27bf01-99cc-4994-9fff-677c833ecd42.JEAGF9NBJKREB8FX.SEARCH&ppt=hp&ppn=homepage&ssid=2u2vzoizai1q3chs1641452507770&qH=a0f2589b1ced4dec,₹425,76% off
Slim Men Dark Blue Jeans,https://www.flipkart.com/lzard-slim-men-dark-blue-jeans/p/itma2a503b661259?pid=JEAFMHTSVTGZT2YB&lid=LSTJEAFMHTSVTGZT2YBAPETOJ&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_19&otracker=search&otracker1=search&fm=SEARCH&iid=ff27bf01-99cc-4994-9fff-677c833ecd42.JEAFMHTSVTGZT2YB.SEARCH&ppt=hp&ppn=homepage&ssid=2u2vzoizai1q3chs1641452507770&qH=a0f2589b1ced4dec,₹459,80% off
Slim Men Grey Jeans,https://www.flipkart.com/metronaut-slim-men-grey-jeans/p/itmcfc5ff19e0957?pid=JEAG5YYM23UMGJVV&lid=LSTJEAG5YYM23UMGJVVVTQGTB&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_21&otracker=search&otracker1=search&fm=SEARCH&iid=ff27bf01-99cc-4994-9fff-677c833ecd42.JEAG5YYM23UMGJVV.SEARCH&ppt=hp&ppn=homepage&ssid=2u2vzoizai1q3chs1641452507770&qH=a0f2589b1ced4dec,₹519,60% off
Slim Men Blue Jeans,https://www.flipkart.com/united-denim-slim-men-blue-jeans/p/itm42acde59628a8?pid=JEAGAY2UK5YAMAZ8&lid=LSTJEAGAY2UK5YAMAZ8LJRYCL&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_22&otracker=search&otracker1=search&fm=SEARCH&iid=ff27bf01-99cc-4994-9fff-677c833ecd42.JEAGAY2UK5YAMAZ8.SEARCH&ppt=hp&ppn=homepage&ssid=2u2vzoizai1q3chs1641452507770&qH=a0f2589b1ced4dec,₹399,75% off
Regular Men Light Blue Jeans,https://www.flipkart.com/lzard-regular-men-light-blue-jeans/p/itmfe4arwykhuhhh?pid=JEAFE435YDFUAJRG&lid=LSTJEAFE435YDFUAJRGJESGKY&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_23&otracker=search&otracker1=search&fm=SEARCH&iid=ff27bf01-99cc-4994-9fff-677c833ecd42.JEAFE435YDFUAJRG.SEARCH&ppt=hp&ppn=homepage&ssid=2u2vzoizai1q3chs1641452507770&qH=a0f2589b1ced4dec,₹459,80% off
Slim Men Black Jeans,https://www.flipkart.com/united-denim-slim-men-black-jeans/p/itmd122dfff1c0c4?pid=JEAG49H8R9E76SJK&lid=LSTJEAG49H8R9E76SJKRJJ0EK&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_25&otracker=search&otracker1=search&fm=SEARCH&iid=ff27bf01-99cc-4994-9fff-677c833ecd42.JEAG49H8R9E76SJK.SEARCH&ppt=hp&ppn=homepage&ssid=2u2vzoizai1q3chs1641452507770&qH=a0f2589b1ced4dec,₹425,73% off
Slim Women Light Blue Jeans,https://www.flipkart.com/f2m-slim-women-light-blue-jeans/p/itm66211e559f550?pid=JEAGFFYE6YDZQGGG&lid=LSTJEAGFFYE6YDZQGGGRHJN30&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_26&otracker=search&otracker1=search&fm=SEARCH&iid=ff27bf01-99cc-4994-9fff-677c833ecd42.JEAGFFYE6YDZQGGG.SEARCH&ppt=hp&ppn=homepage&ssid=2u2vzoizai1q3chs1641452507770&qH=a0f2589b1ced4dec,₹452,77% off
Regular Women Light Blue Jeans,https://www.flipkart.com/areeba-collection-regular-women-light-blue-jeans/p/itm1829a15001cf5?pid=JEAGF9WDT8TZ8EKF&lid=LSTJEAGF9WDT8TZ8EKFRTDBIC&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_27&otracker=search&otracker1=search&fm=SEARCH&iid=ff27bf01-99cc-4994-9fff-677c833ecd42.JEAGF9WDT8TZ8EKF.SEARCH&ppt=hp&ppn=homepage&ssid=2u2vzoizai1q3chs1641452507770&qH=a0f2589b1ced4dec,₹233,76% off
Slim Women Blue Jeans,https://www.flipkart.com/dhyanam-slim-women-blue-jeans/p/itmc1ce704eeddd9?pid=JEAG6ZFNMZA96ZRQ&lid=LSTJEAG6ZFNMZA96ZRQ2CWYPE&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_29&otracker=search&otracker1=search&fm=SEARCH&iid=ff27bf01-99cc-4994-9fff-677c833ecd42.JEAG6ZFNMZA96ZRQ.SEARCH&ppt=hp&ppn=homepage&ssid=2u2vzoizai1q3chs1641452507770&qH=a0f2589b1ced4dec,₹500,49% off
Flared Women Blue Jeans,https://www.flipkart.com/perfect-fashion-flared-women-blue-jeans/p/itm0e4885182a323?pid=JEAG9WSMGKMDRVTN&lid=LSTJEAG9WSMGKMDRVTNBMWXPS&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_30&otracker=search&otracker1=search&fm=SEARCH&iid=ff27bf01-99cc-4994-9fff-677c833ecd42.JEAG9WSMGKMDRVTN.SEARCH&ppt=hp&ppn=homepage&ssid=2u2vzoizai1q3chs1641452507770&qH=a0f2589b1ced4dec,₹699,41% off
Slim Girls Blue Jeans,https://www.flipkart.com/kifayati-bazar-slim-girls-blue-jeans/p/itme235ffd832640?pid=JEAG2YFFHWXBZEQW&lid=LSTJEAG2YFFHWXBZEQWUOLGBN&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_31&otracker=search&otracker1=search&fm=SEARCH&iid=ff27bf01-99cc-4994-9fff-677c833ecd42.JEAG2YFFHWXBZEQW.SEARCH&ppt=hp&ppn=homepage&ssid=2u2vzoizai1q3chs1641452507770&qH=a0f2589b1ced4dec,₹439,70% off
Jogger Fit Women Blue Jeans,https://www.flipkart.com/dnext-jogger-fit-women-blue-jeans/p/itmb818936bbb00c?pid=JEAGYVQNX88XGKSE&lid=LSTJEAGYVQNX88XGKSEWODEQ2&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_33&otracker=search&otracker1=search&fm=SEARCH&iid=ff27bf01-99cc-4994-9fff-677c833ecd42.JEAGYVQNX88XGKSE.SEARCH&ppt=hp&ppn=homepage&ssid=2u2vzoizai1q3chs1641452507770&qH=a0f2589b1ced4dec,₹235,76% off
Regular Men & Women Blue Jeans,https://www.flipkart.com/nafia-fashion-regular-men-women-blue-jeans/p/itm318ea61db0f01?pid=JEAG3X6DG9C8GZNS&lid=LSTJEAG3X6DG9C8GZNSY5EJCG&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_34&otracker=search&otracker1=search&fm=SEARCH&iid=ff27bf01-99cc-4994-9fff-677c833ecd42.JEAG3X6DG9C8GZNS.SEARCH&ppt=hp&ppn=homepage&ssid=2u2vzoizai1q3chs1641452507770&qH=a0f2589b1ced4dec,₹240,65% off
Skinny Men Dark Blue Jeans,https://www.flipkart.com/metronaut-skinny-men-dark-blue-jeans/p/itm531cbf69c3c65?pid=JEAFJHMS24YACDQ3&lid=LSTJEAFJHMS24YACDQ3M10DAC&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_35&otracker=search&otracker1=search&fm=SEARCH&iid=ff27bf01-99cc-4994-9fff-677c833ecd42.JEAFJHMS24YACDQ3.SEARCH&ppt=hp&ppn=homepage&ssid=2u2vzoizai1q3chs1641452507770&qH=a0f2589b1ced4dec,₹584,67% off
Slim Men Dark Blue Jeans,https://www.flipkart.com/metronaut-slim-men-dark-blue-jeans/p/itm82a410c41fcdd?pid=JEAG5YYMBA4EMRRM&lid=LSTJEAG5YYMBA4EMRRMMSUMTQ&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_37&otracker=search&otracker1=search&fm=SEARCH&iid=ff27bf01-99cc-4994-9fff-677c833ecd42.JEAG5YYMBA4EMRRM.SEARCH&ppt=hp&ppn=homepage&ssid=2u2vzoizai1q3chs1641452507770&qH=a0f2589b1ced4dec,₹485,62% off
Slim Men Blue Jeans,https://www.flipkart.com/sobbers-slim-men-blue-jeans/p/itmcc7532b32f573?pid=JEAG483UHVEX6UJM&lid=LSTJEAG483UHVEX6UJMGHICDO&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_38&otracker=search&otracker1=search&fm=SEARCH&iid=ff27bf01-99cc-4994-9fff-677c833ecd42.JEAG483UHVEX6UJM.SEARCH&ppt=hp&ppn=homepage&ssid=2u2vzoizai1q3chs1641452507770&qH=a0f2589b1ced4dec,₹439,74% off
Jogger Fit Men Black Jeans,https://www.flipkart.com/zaysh-jogger-fit-men-black-jeans/p/itmdc808b797351f?pid=JEAFBN4TBK9H5KCZ&lid=LSTJEAFBN4TBK9H5KCZKKGYAO&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_39&otracker=search&otracker1=search&fm=SEARCH&iid=ff27bf01-99cc-4994-9fff-677c833ecd42.JEAFBN4TBK9H5KCZ.SEARCH&ppt=hp&ppn=homepage&ssid=2u2vzoizai1q3chs1641452507770&qH=a0f2589b1ced4dec,₹459,72% off
