pname,url,price,rating,discount,no_of_ratings
"Infinix Smart 5A (Ocean Wave, 32 GB)",https://www.flipkart.com/infinix-smart-5a-ocean-wave-32-gb/p/itma0d1e81b14743?pid=MOBG56UGTK2UFKZA&lid=LSTMOBG56UGTK2UFKZAIWFL0J&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=SEARCH&iid=e6e26f53-9d33-4cac-813d-85be87700060.MOBG56UGTK2UFKZA.SEARCH&ppt=hp&ppn=homepage&ssid=lugnvwgnpbac1k3k1641663902450&qH=6ea4465d0add4685,6999,4.4,12,52513
"Infinix Smart 5A (Quetzal Cyan, 32 GB)",https://www.flipkart.com/infinix-smart-5a-quetzal-cyan-32-gb/p/itma0d1e81b14743?pid=MOBG56UGAS4CFKTK&lid=LSTMOBG56UGAS4CFKTKXZCJLS&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=SEARCH&iid=e6e26f53-9d33-4cac-813d-85be87700060.MOBG56UGAS4CFKTK.SEARCH&ppt=hp&ppn=homepage&ssid=lugnvwgnpbac1k3k1641663902450&qH=6ea4465d0add4685,6999,4.4,12,52513
"Infinix Smart 5A (Midnight Black, 32 GB)",https://www.flipkart.com/infinix-smart-5a-midnight-black-32-gb/p/itma0d1e81b14743?pid=MOBG56UGBGFN9JRN&lid=LSTMOBG56UGBGFN9JRN7VONX0&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=SEARCH&iid=e6e26f53-9d33-4cac-813d-85be87700060.MOBG56UGBGFN9JRN.SEARCH&ppt=hp&ppn=homepage&ssid=lugnvwgnpbac1k3k1641663902450&qH=6ea4465d0add4685,6999,4.4,12,52513
"POCO C31 (Royal Blue, 64 GB)",https://www.flipkart.com/poco-c31-royal-blue-64-gb/p/itm19effae969b86?pid=MOBG73E7GKQK4KZP&lid=LSTMOBG73E7GKQK4KZPO7NNRG&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=SEARCH&iid=e6e26f53-9d33-4cac-813d-85be87700060.MOBG73E7GKQK4KZP.SEARCH&ppt=hp&ppn=homepage&ssid=lugnvwgnpbac1k3k1641663902450&qH=6ea4465d0add4685,9499,4.3,20,9175
"Infinix Hot 10S (Heart Of Ocean, 64 GB)",https://www.flipkart.com/infinix-hot-10s-heart-ocean-64-gb/p/itma5269c82af950?pid=MOBG2T89EFYGVUUV&lid=LSTMOBG2T89EFYGVUUVOWGB65&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=SEARCH&iid=e6e26f53-9d33-4cac-813d-85be87700060.MOBG2T89EFYGVUUV.SEARCH&ppt=hp&ppn=homepage&ssid=lugnvwgnpbac1k3k1641663902450&qH=6ea4465d0add4685,9999,4.3,23,65705
"REDMI 9i Sport (Carbon Black, 64 GB)",https://www.flipkart.com/redmi-9i-sport-carbon-black-64-gb/p/itm17ed463dc779a?pid=MOBG6WQWRGRRDBH6&lid=LSTMOBG6WQWRGRRDBH6DJKEOT&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=SEARCH&iid=e6e26f53-9d33-4cac-813d-85be87700060.MOBG6WQWRGRRDBH6.SEARCH&ppt=hp&ppn=homepage&ssid=lugnvwgnpbac1k3k1641663902450&qH=6ea4465d0add4685,8499,4.3,15,25309
"realme 8 5G (Supersonic Black, 128 GB)",https://www.flipkart.com/realme-8-5g-supersonic-black-128-gb/p/itm8a548578d136e?pid=MOBG24GTKAAJZZHY&lid=LSTMOBG24GTKAAJZZHYQMXHF9&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=SEARCH&iid=e6e26f53-9d33-4cac-813d-85be87700060.MOBG24GTKAAJZZHY.SEARCH&ppt=hp&ppn=homepage&ssid=lugnvwgnpbac1k3k1641663902450&qH=6ea4465d0add4685,18499,4.4,2,60181
"realme Narzo 50i (Carbon Black, 64 GB)",https://www.flipkart.com/realme-narzo-50i-carbon-black-64-gb/p/itm53fa214c23501?pid=MOBG6MY4ZDGGZ8Q9&lid=LSTMOBG6MY4ZDGGZ8Q9XNSB0A&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=SEARCH&iid=e6e26f53-9d33-4cac-813d-85be87700060.MOBG6MY4ZDGGZ8Q9.SEARCH&ppt=hp&ppn=homepage&ssid=lugnvwgnpbac1k3k1641663902450&qH=6ea4465d0add4685,8999,4.3,10,20372
"realme C11 2021 (Cool Grey, 32 GB)",https://www.flipkart.com/realme-c11-2021-cool-grey-32-gb/p/itmbd856acb97c38?pid=MOBG4BEGX8QYNKGZ&lid=LSTMOBG4BEGX8QYNKGZNLSGDO&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=SEARCH&iid=e6e26f53-9d33-4cac-813d-85be87700060.MOBG4BEGX8QYNKGZ.SEARCH&ppt=hp&ppn=homepage&ssid=lugnvwgnpbac1k3k1641663902450&qH=6ea4465d0add4685,7499,4.4,6,134194
"POCO C31 (Royal Blue, 32 GB)",https://www.flipkart.com/poco-c31-royal-blue-32-gb/p/itm9656ebd21e0b3?pid=MOBG73E7ZBHHQ3RB&lid=LSTMOBG73E7ZBHHQ3RBIYTAD5&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=SEARCH&iid=e6e26f53-9d33-4cac-813d-85be87700060.MOBG73E7ZBHHQ3RB.SEARCH&ppt=hp&ppn=homepage&ssid=lugnvwgnpbac1k3k1641663902450&qH=6ea4465d0add4685,8499,4.3,22,9486
"Infinix Note 11 (Celestial Snow, 64 GB)",https://www.flipkart.com/infinix-note-11-celestial-snow-64-gb/p/itm37cf75bb103f9?pid=MOBG9XPV7HYHTZNQ&lid=LSTMOBG9XPV7HYHTZNQCR85NX&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&fm=SEARCH&iid=e6e26f53-9d33-4cac-813d-85be87700060.MOBG9XPV7HYHTZNQ.SEARCH&ppt=hp&ppn=homepage&ssid=lugnvwgnpbac1k3k1641663902450&qH=6ea4465d0add4685,12499,4.4,16,2377
"MOTOROLA E7 Power (Tahiti Blue, 64 GB)",https://www.flipkart.com/motorola-e7-power-tahiti-blue-64-gb/p/itm93e064e6c1650?pid=MOBFVH62332YBPYH&lid=LSTMOBFVH62332YBPYHSG4GTN&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=SEARCH&iid=e6e26f53-9d33-4cac-813d-85be87700060.MOBFVH62332YBPYH.SEARCH&ppt=hp&ppn=homepage&ssid=lugnvwgnpbac1k3k1641663902450&qH=6ea4465d0add4685,8999,4.1,25,67831
"SAMSUNG Galaxy F12 (Celestial Black, 64 GB)",https://www.flipkart.com/samsung-galaxy-f12-celestial-black-64-gb/p/itmaae10b8db3909?pid=MOBGFG79FUDPXZXQ&lid=LSTMOBGFG79FUDPXZXQH5PM6N&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=SEARCH&iid=e6e26f53-9d33-4cac-813d-85be87700060.MOBGFG79FUDPXZXQ.SEARCH&ppt=hp&ppn=homepage&ssid=lugnvwgnpbac1k3k1641663902450&qH=6ea4465d0add4685,11499,4.2,11,182030
"SAMSUNG Galaxy F12 (Sky Blue, 64 GB)",https://www.flipkart.com/samsung-galaxy-f12-sky-blue-64-gb/p/itm0319ce24f74aa?pid=MOBGFG79BVGDHGWV&lid=LSTMOBGFG79BVGDHGWVGF2CRI&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=SEARCH&iid=e6e26f53-9d33-4cac-813d-85be87700060.MOBGFG79BVGDHGWV.SEARCH&ppt=hp&ppn=homepage&ssid=lugnvwgnpbac1k3k1641663902450&qH=6ea4465d0add4685,11499,4.2,11,182030
